,Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year,Founders,Investor
309,Ayana,Renewable player,undisclosed,390000000,Bangalore,Ayana Renewable Power is an Indian renewable energy platform,1970,Shivanand N,NIIF Ltd CDC Group
310,Fisdom,FinTech,undisclosed,7000000,Bangalore,Fisdom is a fintech company that offers investment advisory services through an application.,1970,Anand Dalmia Ramganesh Iyer Subramanya S.V. Subramanya Venkat,PayU Finance India Quona Capital
312,Infinite Uptime,IoT startup,Series B,5100000,Pune,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,1970,Raunak Bhinge,Infrastructure Leasing & Financial Services Limited Dorm Room Fund
313,HappyLocate,SaaS startup,Pre Series A,500000,Bangalore,HappyLocate is India's first One Stop Relocation Platform transforming the way Employee Relocations are managed,1970,Ajay Tiwari Sainadh Duvvuru,The CoWrks Foundry
314,PhonePe,FinTech,undisclosed,700000000,Delhi,PhonePe is a mobile payments application that allows the user to transfer money instantly.,1970,Burzin Engineer Rahul Chari Sameer Nigam,Flipkart
315,Loop Health,HealthTech,Seed,2300000,Pune,Loop Health is bringing ease and choice to patients seeking major medical treatments.,1970,Mayank Kale Ryan Singh,Y Combinator Sierra Ventures
318,TagMango,Marketing company,Seed,700000,Mumbai,TagMango is a marketing and advertising app that helps influencer and brands to partner with individuals.,1970,Divyanshu Damani Mohammad Hasan,XRM Media Kevin Lin
319,The New Shop,Retail startup,Seed,500000,Delhi,The New Shop is a chain of high speed retail stores,1970,Charak Almast Aastha Almast Mani Dev Gyawali,Huddle Accelerator
320,MobiKwik,FinTech,undisclosed,7000000,Gurgaon,MobiKwik is India’s leading fintech platform operating businesses in consumer payments payment gateway and financial services.,1970,Bipin Singh Upasana Taku,Hindustan Media Venture Nicolas Jarrosson
321,DebugsBunny,EdTech,undisclosed,100000,Pune,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,1970,Sumit Sanjay Singare,India Angel Fund
322,BHIVE Investech,Co-working Startup,Seed,1000000,Bangalore,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,1970,Monnappa Bayavanda Prashant Reddy Ravindra M.K Ravindra M.K. Shesh Paplikar Shesh Paplikar Sridhar Venkataraman,Blume Ventures
323,Rivigo,Logistics,undisclosed,19000000,Gurgaon,Rivigo is a technology-enabled logistics platform provider that offers transport services.,1970,Deepak Garg Gazal Kalra,Elevation Capital Trifecta Capital Advisors
324,ZipLoan,Finance company,undisclosed,3000000,Delhi,ZipLoan is a online lending platform,1970,KSHITIJ Puri Shalabh Singhal,Stride Ventures Matrix Partners India
330,Bolo Indya,Video sharing platform,undisclosed,400000,Gurgaon,Bolo Indya is a short video & commerce platform. It allows users to create watch and share videos & discover and avail services.,1970,Tanmai Paul Varun Saxena,India Accelerator Sunil Kamath
331,Bombay Play,Gaming startup,Seed,1000000,Bangalore,Bombay Play is a Card and Toy Company Making games for India.,1970,Abhas Saroha Oliver Jones Oliver Jones,Ramakant Sharma Leo Capital India
334,Atomberg Technologies,Consumer appliances,Series B,9000000,Mumbai,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",1970,Manoj Meena Sibabrata Das,Sandeep Tandon Survam Partners
335,DealShare,E-commerce,Series C,21000000,Jaipur,DealShare is a Social Commerce Startup,1970,Sankar Bora Sourjyendu Medda Vineet Rao,Falcon Edge Capital Omidyar Network
337,CueMath,EdTech,Series C,40000000,Bangalore,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,1970,Manan Khurma,Sequoia Capital India CapitalG
339,5C Network,HealthTech,Pre Series A,1200000,Bangalore,5C is India's first Diagnostics Network making Radiodiagnosis more Accessible Affordable and Accurate,1970,Kalyan Sivasailam,Axilor Ventures Unitus Ventures
340,Ethereum Push Notification Service,Blockchain startup,Seed,750000,Mumbai,EPNS is a decentralized notification protocol,1970,Harsh Rajat Richa Joshi,Prolific angel investors
341,Mihup,Conversational AI platform,Series A,1500000,Kolkata,Intelligence-based personal mobile assistant app,1970,Biplab Chakraborty Sandipan Chattopadhyay Sandipan Mandal Tapan Barman,Ideaspring Capital Accel
342,RuralBasket,E-commerce,undisclosed,500000,Tirunelveli Tamilnadu,Naturally grown and healthy products directly from farmers.,1970,Palani Rajan,Nativelead Foundation
343,WayCool Foods,AgriTech,Debt,7800000,Chennai,WayCool has adopted a tech-enabled supply chain approach to produce staples like rice dairy and value added products.,1970,Karthik Jayaraman Sanjay Dasari,FMO IndusInd Bank
344,Infra.Market,Real Estate,Series B,20000000,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,1970,Aaditya Sharda Souvik Sengupta,Trifecta Capital Advisors Nexus Venture Partners
345,Info Edge Venture,Venture capitalist,undisclosed,50000000,Noida,Info Edge provides online recruitment matrimonial and real estate classifieds and related services.,1970,Sanjeev Bikhchandani,Lightbox
346,Clovia,E-commerce,Pre-series C,4000000,Noida,Clovia is the online lingerie retailer,1970,Neha Kant Pankaj Vermani,Golden Birch Investments She Capital
347,Codingal,EdTech,Seed,560000,Bangalore,Coding education platform for K-12 students,1970,Satyam Baranwal Vivek Prakash,Pras Hanuma Rebright Partners Java Capital and GSF Accelerator.
348,CRED,Finance company,Series C,80000000,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,1970,Kunal Shah,General Catalyst Ribbit Capital
349,Vistaar Finance,Finance company,undisclosed,30000000,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,1970,Brahmanad Ramakrishna Nishtala,FMO
350,Let's Dive,SaaS platform,undisclosed,1700000,Bangalore,A platform for remote employee engagement and building team culture,1970,Nitesh Agrawal Om Prakash,Surge
351,Habitat,EdTech,Seed,600000,Undisclosed,Habitat a social learning edtech platform for civil service aspirants,1970,Rohit Pande Shikhar Sachan,Unitus Ventures Whiteboard Capital
352,SAWO Labs,SaaS platform,Seed,600000,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,1970,Prabhat Sahu,StartupXseed Ventures 100X.VC
353,Signzy,AI platform,undisclosed,3000000,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,1970,Ankit Ratan Ankur Pandey Arpit Ratan,Stellaris Venture Partners Mastercard
355,Kyt,EdTech,undisclosed,2500000,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,1970,Bhavik Rathod Tripti Ahuja,Sequoia Capital India’s Surge
356,Raskik,Fusion beverages,Pre Series A,1000000,Undisclosed,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,1970,Vikas Chawla Abhay Parnerkar Satyajit Ram,Venture Catalysts 9Unicorns
357,GetWork,HR Tech,Pre-seed,40000,Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,1970,Rahul Veerwal,India Accelerator
358,Mobile Premier League (MPL),Gaming,Series B,500000,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,1970,Sai Srinivas Kiran G Shubham Malhotra,Pegasus Tech Ventures Base Partners
359,Pravasirojgar,Job portal,undisclosed,33000000,Undisclosed,Initiative for blue-collar job workers,1970,Sonu Sood,GoodWorker.
362,NewsReach,Digital Media,Seed,1500000,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,1970,Darshan Shah Soniya Kundnani,Mumbai Angels JITO Angel Network.
363,Cashfree,FinTech,Series B,35000000,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,1970,Akash Sinha Reeju Datta,George Osborne Smilegate Investment
364,Credgenics,FinTech,Pre Series A,3000000,Delhi,Credgenics is a tech-enabled platform backed by Titan Capital helping fintech lenders and Banks in their critical NPA reduction,1970,Anand Agrawal Mayank Khera Rishabh Goel,Accel India Breadlake Ventures
365,GeoIQ,AI startup,Seed,300000,Bangalore,Map-based intelligent platform with single-click access to street-level location data - demographics competitions movements - for retail.,1970,Devashish Fuloria Tusheet Shrivastava Ankita Thakur,Ankur Mittal Mitesh Shah
366,Country Delight,Dairy startup,Series C,25000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,1970,Chakradhar Gade Nitin Kaushal,IIFL Asset Management Matrix Partners
367,Quintype,Content management,Series A,3500000,Bangalore,A technology company that focus on building a suite of digital publishing solutions to simplify content creation distribution audience engagement,1970,Chirdeep Shetty,IIFL AMC
368,CARS24,Retail,Series E,200000000,Haryana,CARS24 is an India-based platform for selling used cars.,1970,Mehul Agrawal Ruchit Agarwal Vikram Chopra,Global Car Group Freemark holdings
371,Cityflo,Transportation,Series A,7000000,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,1970,Advaith Vishwanath Ankit Agrawal Jerin Venad Rushabh Shah Sankalp Kelshikar Subhash Sundaravadivelu,Anupam Mittal India Quotient
372,AlgoBulls,Trading platform,undisclosed,200000,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,1970,Pushpak Dagade Jimmit Patel and Suraj Bathija,Venture Catalysts
373,Credgenics,FinTech,Pre Series A,3000000,Gurugram,Credgenics is a tech-enabled platform backed by Titan Capital helping fintech lenders and Banks in their critical NPA reduction,1970,Anand Agrawal Mayank Khera Rishabh Goel,Accel India Breadlake Ventures
375,Ensuredit,FinTech,Pre Series A,300000,Gurugram,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,1970,Amit Rohit Sadhu and Vikas Ranga,Venture Catalysts
376,Shipsy,AI Company,Series A,6000000,Gurugram,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,1970,Dhruv Agrawal Himanshu Gupta Soham Chokshi,DTDC Udaan Angel Partners
377,ERPNext,Tech company,undisclosed,1000000,Mumbai,ERPNext is an Open Source Online ERP solution which includes Accounting CRM Inventory Purchasing HR Support and a lot more.,1970,Rushabh Mehta,Rainmatter
381,Yellow Classes,EdTech,Pre Series A,1300000,Gurugram,New-age fun-learning platform for kids.,1970,Arpit Mittal Anshul Gupta,India Quotient
382,Plum,HealthTech,undisclosed,4100000,Bangalore,High quality health insurance and health benefits,1970,Abhishek Poddar Saurabh Arora,Surge Tanglin Venture Partners
383,STAGE,Entertainment,undisclosed,1000000,Indore,STAGE is an Indian language content platform for artist-led entertainment.,1970,Shashank Vaishnav Vinay Singhal Parveen Singhal,Venture Catalysts
385,Kaagaz Scanner,Scanning app,undisclosed,575000,Undisclosed,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,1970,Snehanshu Gandhi Gaurav Shrishrimal,Pravega Ventures
386,NIRA,FinTech,undisclosed,1000000,Bangalore,NIRA promotes financial inclusion by creating simple transparent products that empower individuals to live a life of choice and freedom.,1970,Rohit Sen Nupur Gupta,Techstars Bangalore Accelerator Techstars
388,Byju's,EdTech,undisclosed,200000000,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,1970,Byju Raveendran Divya Gokulnath,Owl Ventures Tiger Global Management
389,DaMENSCH,E-commerce,undisclosed,6000000,Bangalore,DaMENSCH is a designer and seller of men's apparel.,1970,Anurag Saboo Gaurav Pushkar,Whiteboard Capital Matrix Partners India
390,Country Delight,Food and Beverages,Series C,25000000,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,1970,Chakradhar Gade Nitin Kaushal,Orios Venture Partners Matrix Partners India
391,SignalX,AI startup,Seed,800000,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,1970,Govind Balachandran Zakir Wahab Piyush Arora,9Unicorns 3Lines VC Hyderabad Angels
392,Lancify,EdTech,undisclosed,300000,Bangalore,Lancify is building the world's strongest young workforce,1970,Gowtham Sundaresan Azan Barodawala,Techstars Techstars Bangalore Accelerator
393,Krimanshi,Biotechnology company,Seed,600000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,1970,Nikhil Bohra,Rajasthan Venture Capital Fund AIM Smart City
394,Instoried,AI startup,Pre Series A,1000000,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,1970,Sharmin Ali Sutanshu Raj,Venture Catalysts SOSV
395,PlayerzPot,Gaming startup,Series A,3000000,Mumbai,Favorite fantasy cricket football & kabaddi leagues online to win daily cash and prizes,1970,Yogesh Mitesh Gangar,
397,Turtlemint,HealthTech,undisclosed,30000000,Mumbai,Turtlemint has built Indian personalized insurance platform,1970,Anand Prabhudesai Dhirendra Mahyavanshi Kunal Shah,Nexus Venture Partners Dream Incubator
398,Arata,E-commerce,Pre Series A,1000000,Delhi,Arata is an e-commerce site for beauty products and cosmetics.,1970,Dhruv Madhok Dhruv Bhasin,DSG Consumer Partners
399,MPL,Gaming startup,undisclosed,5000000,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,1970,Sai Srinivas Kiran G Shubham Malhotra,Pegasus Tech Ventures Base Partners
400,True Balance,FinTech,undisclosed,28000000,Gurugram,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,1970,Cheolwon Lee Jay Yi Martin Lee,IBK Capital SB Partners
403,Prescribe,HealthTech,undisclosed,100000,Chennai,Provide online services to patients by leveraging WhatsApp.,1970,Nived Narayanan,Titan Capital
404,Nepra,CleanTech,Series C,18000000,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,1970,Sandeep Patel,Asha Impact Aavishkaar Venture Capital
405,inFeedo,SaaS startup,undisclosed,3200000,Gurugram,inFeedo is a predictive people analytics company helping 300000+ employees in 100+ companies make their voice feel heard and valued.,1970,Tanmaya Jain,Peyush Bansal Ritesh Malik
408,MindTickle,SaaS platform,Debt,100000000,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,1970,Deepak Diwakar Krishna Depura Mohit Garg Nishant Mungali,Canaan Partners NewView Capital
409,Krimanshi,Biotechnology company,Seed,600000,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,1970,Nikhil Bohra,Rajasthan Venture Capital Fund AIM Smart City
410,Slice,FinTech,Debt,5000000,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,1970,Deepak Malhotra Rajan Bajaj,Better Capital Gunosy
411,Rapawalk,E-commerce,Seed,300000,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,1970,Kashif Mohammad Aravind Maddireddy,Sanjay Ramakrishnan Ravi Garikipati
414,Stride Ventures,Venture capitalist,undisclosed,80000000,Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,1970,Ishpreet Gandhi,Small Industries Development Bank of India
415,BlackSoil,FinTech,undisclosed,10000000,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,1970,Ankur Bansal,
416,Biocon,Healthcare,undisclosed,15000000,Bangalore,Biocon is a healthcare and technology company focused on biotechnology.,1970,Kiran Mazumdar-Shaw,Goldman Sachs
417,Clientjoy,SaaS startup,Pre Series A,800000,Gujarat,Client Management Software For Modern Agencies.,1970,Abhishek Doshi Anupama Panchal Shashwat Bhatt Yash Shah,LetsVenture Jyotsna Bapat
418,Xpressbees,E-commerce,undisclosed,100000000,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,1970,Amitava Saha Supam Maheshwari,Alibaba Group InnoVen Capital
420,Wellness Forever,HealthTech,undisclosed,100000000,Mumbai,Wellness Forever is the one-stop destination for wellness,1970,Ashraf Biran Gulshan Bakhtiani Mohan Chavan,Poonawalla Allana Group
421,MoooFarm,AgriTech,Pre-seed,500000,Gurugram,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,1970,Param Singh Aashna Singh Abhijeet Mittal Jitesh Arora,Navus Ventures Rockstart
422,BitClass,PaaS startup,Seed,2000000,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,1970,Gunjan Kejriwal Utsav Tiwary,AET Japan Figure Eight Investments Waterbridge Ventures
423,Gonuts,Entertainment,Seed,400000,Mumbai,Personalised Video shoutouts from favourite celebrity.,1970,Vinamra Pandiya Mayank Gupta Joji George,Sweta Rau Archana Priyadarshini
424,Uolo,EdTech,Seed,2000000,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,1970,Pallav Pandey Ankur Pandey Siddharth Singh,Rajul Garg Purvi Capital
425,Kirana King,Retail,Pre Series A,900000,Jaipur Rajastan,A revolutionary idea of standardization digitization & centralization to traditional Grocery system.,1970,Anup Kumar,Rajasthan Venture Capital Fund
426,Jade Forest,Beverages,Seed,250000,Delhi,NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel we bring you a bespoke range of natural mixers.,1970,Punweet Singh Shuchir Suri,
428,FrontRow,EdTech,Seed,3200000,Bangalore,Comprehensive courses taught by idols.,1970,Mikhil Raj Shubhadit Sharma Ishaan Preet Singh,Lightspeed Elevation Deepika Padukone
429,Reliance Retail,E-commerce,undisclosed,10000000,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,1970,Mukesh Ambani,Abu Dhabi Investment Authority GIC
431,Ather Energy,Automobiles,Series D,35000000,Bangalore,Ather Energy is a manufacturer of electric scooters.,1970,Arun Vinayak Swapnil Jain Tarun Mehta,HeroMotoCorp Ltd and Sachin Bansal
432,Routematic,SaaS startup,undisclosed,2000000,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,1970,Sriram Kannan Surajit Das,VAMM Ventures Naresh Malhotra
433,LivFin,FinTech,undisclosed,4700000,Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),1970,Rakesh Malhotra,DEG KFW DEG
436,Eggoz,Food & Bevarages,Pre Series A,1500000,Indore,Eggoz is a brand of fresh and chemical-free eggs produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.,1970,Abhishek Negi Aditya Singh Pankaj Pandey Uttam Kumar,AVANA Capital Rebright Partners
438,CHARGE+ZONE,EV startup,Pre Series A,3000000,Gujarat,Charge+Zone provides services in renewable energy solutions product development and software engineering company.,1970,Kartikey Hariyani Pavan Bakeri,Mumbai Angels
439,Stones2milestones,EdTech,Bridge,2000000,Gurugram,Stones2milestones is India (Delhi) Based EdTech Company,1970,Kavish Gadia Nikhil Saraf,Menterra Venture Advisors Emandi Sankara Rao
440,Udacity,EdTech,Debt,75000000,USA,Udacity develops an online learning platform offering programs in artificial intelligence machine learning and robotics sector.,1970,David Stavens Mike Sokolsky Sebastian Thrun,Hercules Capital Inc.Bertelsmann
441,AjnaLens,AR/VR startup,Bridge,1000000,Thane,AjnaLens develops AR/VR wearables primarily for the Defence Education and enterprise customers.,1970,Abhijit Patil Abhishek Tomar Pankaj Raut,Mohsin Hani Al Bahrani MoD
442,Gully Network,E-commerce,Pre Series A,1200000,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,1970,Ajay Nain Prateek Chaturvedi,CP Ventures Orios Venture Partners
443,TurboHire,Recruitment startup,Seed,1000000,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,1970,Abhishek Kabra Aman Gour,Kia Ora Ventures Pentathlon Ventures
445,Charcoal Eats,QSR startup,undisclosed,2000000,Mumbai,In the last five years have served over 1.5 million orders and enjoy high customer satisfaction.,1970,Anurag Mehrotra Krishnakant Thakur Mohammed Bhol Gautam Singh,Lokmat Investments
447,Svami,Food & Bevarages,undisclosed,800000,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,1970,Sahil Jatana,Niren Shah Rukam Capital Trust
448,Dhurnia,EdTech,undisclosed,100000,Dhingsara Haryana,Developer of an online learning platform intended for various competitive exam preparations.,1970,Ajay Kumar Murari Singh,Chandigarh Angels Network Modulor Capital
450,Leena AI,AI startup,undisclosed,8000000,New York United States,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,1970,Adit Jain Anand Prajapati Mayank Goyal,Alan Patricof Jim Moffatt
451,Bizlog,Logistics,undisclosed,1000000,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,1970,HS Srinivasan Krishnan Rajan E.V. Shunmugam,IAN Fund
452,Tamasha.live,Gaming,undisclosed,300000,Mumbai,Tamasha offers a platform for influencers to host live video based real money contests and games.,1970,Saurabh Gupta Siddharth Swarnkar,9Unicorns Titan Capital FirstCheque
453,Fedo,AI startup,undisclosed,1000000,Bangalore,Artificial Intelligence based Credit Score for Health,1970,Arun Mallavarapu Prasanth Madavana,AIM Smart City
454,FabHotels,Hospitality,undisclosed,1000000,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,1970,Adarsh Manpuria Vaibhav Aggarwal,RB Investments Pte. Ltd Goldman Sachs
